iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
419	0.7762597112	0.3998892857	0.8159596461	0.838107018
420	0.7763557737	0.3998102154	0.8160037181	0.8380855069
421	0.7764673802	0.3996937084	0.8160758358	0.8381177736
422	0.776474025	0.3996764993	0.8160598096	0.8380639957
423	0.7765349799	0.3995984201	0.8161359338	0.8381823071
424	0.7765723301	0.3995660839	0.8161639796	0.8382038182
425	0.7767978456	0.3994497668	0.8163683131	0.8384296854
426	0.7768124976	0.3993852999	0.8163723196	0.8384189298
427	0.7768720601	0.3993067006	0.816412385	0.838440441
428	0.7767529293	0.3992184806	0.8163322542	0.8383974187
429	0.7765132146	0.3991750017	0.8161359338	0.8382145738
430	0.7764607338	0.3991169928	0.8160918619	0.8381715515
431	0.7764909854	0.3990858083	0.8161239142	0.8382145738
432	0.7766701891	0.3989729788	0.81625613	0.838311374
433	0.7768730276	0.3988872587	0.8164364242	0.8385049745
434	0.7768725438	0.3988478775	0.8164244046	0.8384727077
435	0.7769023248	0.3987994486	0.8164444373	0.8384834633
436	0.776970429	0.3987663803	0.816516555	0.8385802635
437	0.7770471041	0.3986836185	0.816620725	0.8387523528
438	0.7771066732	0.3985564483	0.8166607904	0.8387738639
439	0.7773297491	0.3985055254	0.8168050258	0.8388383974
440	0.7773741466	0.3984685884	0.816829065	0.8388383974
441	0.7771722986	0.398444834	0.81667281	0.8387093305
442	0.7774407315	0.3982363049	0.8168651239	0.8388383974
443	0.7774109673	0.3981516105	0.8168450912	0.8388276418
444	0.7775234942	0.3980941167	0.8169412481	0.8389244421
445	0.7777323362	0.3980389266	0.8170934966	0.8390319978
446	0.7776733587	0.3979793961	0.8170654508	0.8390427534
447	0.7775911183	0.3979144266	0.8170013462	0.8389889755
448	0.7778664901	0.3978470579	0.8171896535	0.8390965313
449	0.7778670367	0.3978009345	0.8172016731	0.8391287981
450	0.7777474828	0.3977281228	0.8171095227	0.839053509
451	0.7777988735	0.3977134279	0.8171295554	0.8390319978
452	0.7780146608	0.3976182174	0.8172777974	0.8391180425
453	0.7779411335	0.3975659721	0.8172457451	0.8391395536
454	0.7780542072	0.3974906247	0.8173539216	0.8392686206
455	0.7780763763	0.3974301426	0.8173659412	0.8392686206
456	0.7782029189	0.3973762986	0.8174540851	0.8393223985
457	0.778128286	0.3973579826	0.8173979935	0.8392793762
458	0.7782839787	0.397294764	0.8174941505	0.8393116429
459	0.778246099	0.3972288062	0.8174540851	0.839257865
460	0.7782455287	0.3970948616	0.8174420655	0.8392255983
461	0.7783125611	0.3970598103	0.8174901439	0.839257865
462	0.7784093121	0.3970377313	0.8175582551	0.8393008873
